acarajé        Comida tipimente baiana                                                                             
alan turing    Pai da ciência da computação                                                                        
amarelinha     Jogo de pular em uma e em duas pernas, usa-se normalmente um giz                                    
barack obama   44° presidente dos estados unidos                                                                   
barney         Dinossauro roxo de série infantil                                                                   
batman         Inimigo do Coringa                                                                                  
bear grylls    Apresentador do programa À Prova de Tudo                                                            
berimbal       Instrumento utilizado na capoeira                                                                   
bill gates     Fundador da Microsoft                                                                               
billie joe     Vocalista da banda Green Day                                                                        
bob esponja    Personagem amarelo de desenho infantil que vive no fundo do mar                                     
calculadora    Maquina para resolver contas matemáticas                                                            
carnaval       Festa típica brasileira conhecida pelos seus desfiles                                               
celular        Computador portátil                                                                                 
cenoura        Raiz comestível que era roxa no passado                                                             
césar cielo    Nadador brasileiro mais rápido do mundo                                                             
chico          Professor de TP do Cotuca                                                                           
china          País com a maior população do mundo                                                                 
china          País com a maior população do mundo                                                                 
coala          Animal símbolo da Austrália                                                                         
computador     Maquina usada para resolver problemas                                                               
cristo redentorUma das sete maravilhas do mundo moderno                                                            
cruzeiro do sulConstelação que forma uma cruz                                                                      
damon albarn   Vocalista da banda Blur e co-criador da banda Gorillaz                                              
darth vader    Vilão mais famoso da série Star Wars                                                                
david bowie    Camaleão do rock                                                                                    
edgar allan poeTerror clássico                                                                                     
elon musk      Fundador da Tesla                                                                                   
emma watson    Embaixadora da mulher na ONU                                                                        
estojo         Guarda lápis                                                                                        
facebook       Rede social mais utilizada no mundo                                                                 
felipe neto    Youtuber carioca com maior numero de inscritos do Brasil                                            
forca          Este jogo                                                                                           
freddie mercuryVocalista da banda Queen                                                                            
george orwell  Escritor de 1984                                                                                    
girafa         Animal de pescoço longo                                                                             
goku           Personagem principal do anime Dragon Ball Z                                                         
grande família Programa de TV brasileiro que ficou mais de 10 anos no ar                                           
grinch         Odeia o natal                                                                                       
hamlet         Obra de literatura clássica inglesa                                                                 
harrison ford  Indiana Jones e Han Solo                                                                            
harry potter   O garoto que sobreviveu                                                                             
henry ford     Criador da empresa Ford                                                                             
hidrogênio     Elemento mais leve da tabela periódica                                                              
homem de ferro Primeiro filme do universo cinematográfico marvel                                                   
homer          Personagem principal da série animada Os Simpsons                                                   
indiana jones  Cobras, porque tinham que ser cobras                                                                
jeff bezos     Homem mais rico do mundo atualmente e dono da Amazon                                                
júpiter        Quinto planeta do sistema solar                                                                     
kanye west     Rapper famoso nos EUA casado com kim kardashian                                                     
karl marx      Revolucionário socialista alemão                                                                    
kennedy        Sobre nome do presidente americano que foi morto em um carro, a céu aberto                          
laika          A cadela russa mais famosa                                                                          
leão           O rei da selva                                                                                      
lebron james   Jogador de basquete que irá estrelar Space Jam 2                                                    
luan santana   Meteoro da paixão                                                                                   
malala         A pessoa mais jovem a conquistar um premio nobel                                                    
mansa musa     O homem teoricamente mais rico da história                                                          
marie curie    Única mulher a ganhar o premio nobel duas vezes                                                     
mario          Personagem principal da Nintendo                                                                    
michael jacksonRei do pop                                                                                          
mickey         Personagem símbolo da disney                                                                        
miguel do carmoPrimeiro jogador negro no futebol brasileiro                                                        
moisés         Abriu o mar vermelho                                                                                
napoleão       Golpe 18 de Brumário                                                                                
naruto         Personagem principal de um dos animes mais famosos do mundo                                         
nu             Despido                                                                                             
pão            Feito de trigo                                                                                      
paul mccartney Baixista da banda The Beatles                                                                       
pelé           Único jogador a ser tricampeão da Copa do Mundo                                                     
pica-pau       Personagem americano animado criado nos anos 40 que ganhou filme exibido apenas no Brasil           
pikachu        Pokémon mais famoso de todos                                                                        
ponte preta    Time de futebol mais antigo do Brasil                                                               
regulus        Estrela  mais brilhante da constelação de Leão                                                      
romario        Ex-Jogador de futebol e senador do Rio de Janeiro                                                   
ronaldinho     Conhecido como bruxo no futebol                                                                     
rupia          Moeda usada na índia                                                                                
rússia         Maior país do mundo                                                                                 
saci           Personagem do folclore brasileiro                                                                   
sapucaí        Local de desfiles carnavalescos no Rio de Janeiro                                                   
shrek          Personagem ogro de filmes infantis                                                                  
sonic          Personagem símbolo da SEGA                                                                          
stan lee       Participou da criação da maioria dos personagens da Marvel                                          
stece jobs     Apple e Pixar                                                                                       
super homem    Herói mais famoso da DC                                                                             
tarzan         Menino criado por animais                                                                           
the beatles    Banda mais famosa do mundo                                                                          
thom yorke     Vocalista da banda Radiohead                                                                        
titanic        Um dos filmes mais vistos da hitória do cinema                                                      
tom holland    Atual ator do homem aranha no cinema                                                                
tony hawk      Skatista mais famoso do mundo                                                                       
usain bolt     Homem mais rápido do mundo                                                                          
vaticano       Menos país do mundo                                                                                 
vetor          Segmento de reta orientado                                                                          
vikings        Invadiram as terras europeias em meados do século VIII                                              
vin diesel     Ator careca que atua na série Velozes e Furiosos                                                    
visual studio  Programa para programação da microsoft                                                              
voldemort      Arqui-inimigo de Harry Potter                                                                       
xbox one       Console da microsoft                                                                                
zumbi          Lutou contra a escravidão no Brasil, e também participa de The Walking Dead                         
